x,y,theta,kappa,arc_length
0.000000000000000000e+00,0.000000000000000000e+00,1.106831810816900408e+00,-5.342641396627937840e-06,2.822365142925344461e+00
1.262999999999999901e+00,2.524000000000000021e+00,1.106355067167074990e+00,-1.259611905876992233e-05,2.812528577632590121e+00
2.524000000000000021e+00,5.038000000000000256e+00,1.104596074965745967e+00,-2.695844474869760893e-05,2.793763948511040152e+00
3.782999999999999918e+00,7.532000000000000028e+00,1.101598581733415738e+00,-4.272078563072496948e-05,2.766089297184745721e+00
5.038000000000000256e+00,9.996999999999999886e+00,1.097136027338233344e+00,-5.899784485305630682e-05,2.727778766689116452e+00
6.288999999999999702e+00,1.242099999999999937e+01,1.091434544054666667e+00,-7.531496374919063180e-05,2.679724799303093263e+00
7.532000000000000028e+00,1.479499999999999993e+01,1.084387050848390599e+00,-9.562963448271448452e-05,2.625647539179622125e+00
8.769000000000000128e+00,1.711100000000000065e+01,1.075588425067738330e+00,-1.178265229054521399e-04,2.561540161699598084e+00
9.996999999999999886e+00,1.935900000000000176e+01,1.065332845086240265e+00,-1.447718451231564882e-04,2.487968850287316958e+00
1.121400000000000041e+01,2.152899999999999991e+01,1.052866202221117486e+00,-1.775558900079651434e-04,2.408299192376228692e+00
1.242099999999999937e+01,2.361299999999999955e+01,1.038354030576673193e+00,-2.136449698949089912e-04,2.321576404084087386e+00
1.361500000000000021e+01,2.560399999999999920e+01,1.021590236646903627e+00,-2.616029706529561169e-04,2.226419547165359614e+00
1.479499999999999993e+01,2.749200000000000088e+01,1.001653399834187219e+00,-3.225446545531297088e-04,2.127062998596891852e+00
1.596100000000000030e+01,2.927100000000000080e+01,9.783805121795960957e-01,-3.960646392093397639e-04,2.021074961499448541e+00
1.711100000000000065e+01,3.093299999999999983e+01,9.512564379965056105e-01,-4.914814096232001522e-04,1.911075613365416537e+00
1.824399999999999977e+01,3.247200000000000131e+01,9.193109250020875534e-01,-6.153092800733322293e-04,1.796804385569002571e+00
1.935900000000000176e+01,3.388100000000000023e+01,8.817674330873462862e-01,-7.769755593089473084e-04,1.679911009547827128e+00
2.045400000000000063e+01,3.515500000000000114e+01,8.373391705219777048e-01,-9.926941542877862346e-04,1.562555918999380733e+00
2.152899999999999991e+01,3.628900000000000148e+01,7.844574299026150221e-01,-1.285900179939002477e-03,1.445305849984703128e+00
2.258200000000000074e+01,3.727900000000000347e+01,7.208646538046628027e-01,-1.693176879879125518e-03,1.330504415625888726e+00
2.361299999999999955e+01,3.811999999999999744e+01,6.434226343368796286e-01,-2.223061218095800234e-03,1.220413044833593030e+00
2.462099999999999866e+01,3.880799999999999983e+01,5.508419061944181960e-01,-2.908527651333809964e-03,1.119157719001216078e+00
2.560399999999999920e+01,3.934300000000000352e+01,4.394453239231371766e-01,-3.791936035713823483e-03,1.028580575356154547e+00
2.656099999999999994e+01,3.971999999999999886e+01,3.057774720947107339e-01,-4.782735169381317764e-03,9.564109995185136048e-01
2.749200000000000088e+01,3.993900000000000006e+01,1.508879735624853724e-01,-5.720299219933034328e-03,9.059889624051720158e-01
2.839600000000000080e+01,3.999900000000000233e+01,-2.248075397168608491e-02,-6.367131147976572668e-03,8.806957476904270221e-01
2.927100000000000080e+01,3.989900000000000091e+01,-2.056506155235842681e-01,-6.461456985005454776e-03,8.847581590468664992e-01
3.011700000000000088e+01,3.964000000000000057e+01,-3.857858311666448325e-01,-5.990791315389763436e-03,9.159213940071504467e-01
3.093299999999999983e+01,3.922399999999999665e+01,-5.533608120315011147e-01,-5.153781150502128629e-03,9.718816800413476731e-01
3.171799999999999997e+01,3.865100000000000335e+01,-7.017907039071410447e-01,-4.171127628276176044e-03,1.048093507278813563e+00
3.247200000000000131e+01,3.792300000000000182e+01,-8.278912316598608934e-01,-3.253644757779415586e-03,1.136100787782490462e+00
3.319299999999999784e+01,3.704500000000000171e+01,-9.337124228278704807e-01,-2.508117173119366744e-03,1.235321820417663474e+00
3.388100000000000023e+01,3.601899999999999835e+01,-1.022044241564122657e+00,-1.930953920400279439e-03,1.339506252318363844e+00
3.453499999999999659e+01,3.485000000000000142e+01,-1.095913235536123631e+00,-1.496153986080495102e-03,1.448406365630867443e+00
3.515500000000000114e+01,3.354099999999999682e+01,-1.157947380716648489e+00,-1.174493519489465745e-03,1.556145558744425950e+00
3.574000000000000199e+01,3.209899999999999665e+01,-1.210716471149662077e+00,-9.381443973886412213e-04,1.663220069623977615e+00
3.628900000000000148e+01,3.052899999999999991e+01,-1.256051557483985004e+00,-7.582899219319913509e-04,1.768059105346876825e+00
3.680199999999999960e+01,2.883699999999999974e+01,-1.295065316996379945e+00,-6.233096975515189930e-04,1.868897535982108948e+00
